Denominação Social,CNPJ
AES BRASIL ENERGIA S.A.,37.663.076/0001-07
AES BRASIL OPERAÇÕES S.A.,00.194.724/0001-13
AGROGALAXY PARTICIPAÇÕES S.A.,21.240.146/0001-84
ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.,42.771.949/0001-35
ALLIED TECNOLOGIA S.A.,20.247.322/0001-47
ALPARGATAS S.A.,61.079.117/0001-05
ALPHAVILLE S.A.,16.811.931/0001-00
ALUPAR INVESTIMENTO S/A,08.364.948/0001-38
AMBEV S.A.,07.526.557/0001-00
ANIMA HOLDING S.A.,09.288.252/0001-32
AREZZO INDÚSTRIA E COMÉRCIO S.A.,16.590.234/0001-76
"ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.",00.242.184/0001-04
ATACADÃO S.A.,75.315.333/0001-09
ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.,00.359.742/0001-08
AUREN ENERGIA S.A.,28.594.234/0001-23
AZEVEDO E TRAVASSOS S.A.,61.351.532/0001-68
AZUL S.A.,09.305.994/0001-29
"B3 S.A. - BRASIL, BOLSA, BALCÃO",09.346.601/0001-25
BAHEMA EDUCAÇÃO S.A.,45.987.245/0001-92
BAUMER S.A.,61.374.161/0001-30
BEMOBI MOBILE TECH S.A.,09.042.817/0001-05
BIOMM S.A.,04.752.991/0001-10
BLAU FARMACÊUTICA S.A.,58.430.828/0001-60
BOA SAFRA SEMENTES S.A.,10.807.374/0001-77
BOMBRIL S.A.,50.564.053/0001-03
BRADESPAR S.A.,03.847.461/0001-92
BRASILAGRO - CIA BRAS DE PROP AGRICOLAS,07.628.528/0001-59
BRASKEM S.A.,42.150.391/0001-70
BRAZILIAN FINANCE E REAL ESTATE S.A.,02.762.113/0001-50
BRB BCO DE BRASILIA S.A.,00.000.208/0001-00
BRF S.A.,01.838.723/0001-27
BRISANET PARTICIPAÇÕES S.A.,19.796.586/0001-70
BRQ SOLUCOES EM INFORMATICA S.A.,36.542.025/0001-64
CAMBUCI S.A.,61.088.894/0001-08
CAMIL ALIMENTOS S.A.,64.904.295/0001-03
CCR S.A.,02.846.056/0001-97
CEMIG GERACAO E TRANSMISSAO S.A.,06.981.176/0001-58
CENTRAIS ELET BRAS S.A. - ELETROBRAS,00.001.180/0001-26
CENTRAIS ELET DE SANTA CATARINA S.A.,83.878.892/0001-55
