DENOM_CIA,CNPJ_CIA,ANO,ROA,LC,CTPT,ME,ML,Macro
AES BRASIL ENERGIA S.A.,37.663.076/0001-07,2012,,,,,,
AES BRASIL OPERAÇÕES S.A.,00.194.724/0001-13,2012,,,,,,
AGROGALAXY PARTICIPAÇÕES S.A.,21.240.146/0001-84,2012,,,,,,
ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.,42.771.949/0001-35,2012,,,,,,
ALLIED TECNOLOGIA S.A.,20.247.322/0001-47,2012,,,,,,
ALMEIDA JUNIOR SHOPPING CENTERS S.A.,82.120.676/0001-83,2012,,,,,,
ALPARGATAS S.A.,61.079.117/0001-05,2012,0.11922749518909138,2.9889552422582035,0.418383038660952,0.13736971267487882,0.12398074993424194,
ALPHAVILLE S.A.,16.811.931/0001-00,2012,,,,,,
ALUPAR INVESTIMENTO S/A,08.364.948/0001-38,2012,0.08805000291625087,1.6834869350363721,0.5318319033174207,inf,inf,
AMBEV S.A.,07.526.557/0001-00,2012,0.03451754102537248,2.367593112792888,0.3777029841169783,inf,inf,
ANEMUS WIND HOLDING S.A.,38.482.780/0001-26,2012,,,,,,
ANIMA HOLDING S.A.,09.288.252/0001-32,2012,0.18293261933856894,0.11563932755985736,5.998910497357956,2.0176360495249064,1.6918370285056148,
AREZZO INDÚSTRIA E COMÉRCIO S.A.,16.590.234/0001-76,2012,0.17035217323258345,5.036736590072544,0.25285360840186916,0.15881766226393523,0.12730381212325895,
"ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.",00.242.184/0001-04,2012,,,,,,
ASA BRANCA HOLDING S.A.,09.359.927/0001-97,2012,,,,,,
ATACADÃO S.A.,75.315.333/0001-09,2012,,,,,,
ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.,00.359.742/0001-08,2012,-3.573099415204678,0.07952255464269106,-1.0219963982505789,-inf,-inf,
AURA ALMAS MINERAÇÃO S.A.,08.213.823/0001-07,2012,,,,,,
AUREN ENERGIA S.A.,28.594.234/0001-23,2012,,,,,,
AZEVEDO E TRAVASSOS S.A.,61.351.532/0001-68,2012,0.09858286431822769,2.924252717391304,1.7740490778465463,0.2522482862713037,0.552984089051003,
AZUL S.A.,09.305.994/0001-29,2012,,,,,,
"B3 S.A. - BRASIL, BOLSA, BALCÃO",09.346.601/0001-25,2012,0.04499673191595589,2.4039562073939935,0.23079420172824733,0.7577277612626847,0.5279484027974695,
BAHEMA EDUCAÇÃO S.A.,45.987.245/0001-92,2012,-0.03805842562997101,15.93285371702638,0.06106674553879523,-inf,-inf,
BAUMER S.A.,61.374.161/0001-30,2012,0.09916432728888697,1.9792653004803538,0.6519427036705461,0.16397129939944668,0.10289255268899436,
BEMOBI MOBILE TECH S.A.,09.042.817/0001-05,2012,,,,,,
BIOMM S.A.,04.752.991/0001-10,2012,-1.606453078845717,0.08563753112305071,-1.4001818595135258,-inf,-inf,
BLAU FARMACÊUTICA S.A.,58.430.828/0001-60,2012,,,,,,
BOA SAFRA SEMENTES S.A.,10.807.374/0001-77,2012,,,,,,
BOMBRIL S.A.,50.564.053/0001-03,2012,-0.02386582469873272,0.9919592205303537,-53.10253855029896,0.05969691004101517,-0.024182731196110852,
BR MALLS PARTICIPACOES S.A.,06.977.745/0001-91,2012,0.16229691980617852,0.3127561840349139,0.31136413534241536,24.070932779891617,20.085264614320305,
BR PROPERTIES S.A.,06.977.751/0001-49,2012,0.11476572027012046,1.0190797749390346,0.3342630857289029,51.0875196500581,41.56923655252546,
BRADESPAR S.A.,03.847.461/0001-92,2012,0.04496478739069038,0.8585990650148001,0.13804845140449393,inf,inf,
BRASILAGRO - CIA BRAS DE PROP AGRICOLAS,07.628.528/0001-59,2012,-0.008089865454445143,2.000096126117466,0.23220470581500194,-0.03546054501247276,-0.04398623259338785,
BRASKEM S.A.,42.150.391/0001-70,2012,-0.020666651534814957,0.8369325710816471,3.101844559210628,0.14185355522816268,-0.03543320862249447,
BRAZILIAN FINANCE E REAL ESTATE S.A.,02.762.113/0001-50,2012,-0.02023795196045466,4.581371009942439,0.013503130568406598,-inf,-inf,
BRB BCO DE BRASILIA S.A.,00.000.208/0001-00,2012,0.0,0.7586714936684468,inf,0.19708535144730388,0.0,
BRF S.A.,01.838.723/0001-27,2012,0.026592772257766184,1.0928091003634068,1.1034284213642536,0.10106444600734686,0.05706350377506892,
BRISANET PARTICIPAÇÕES S.A.,19.796.586/0001-70,2012,,,,,,
BRQ SOLUCOES EM INFORMATICA S.A.,36.542.025/0001-64,2012,,,,,,
CAMBUCI S.A.,61.088.894/0001-08,2012,-0.05107270510768516,1.490400092579929,7.260524062339441,0.04961339624854516,-0.05556357534036468,
CAMIL ALIMENTOS S.A.,64.904.295/0001-03,2012,,,,,,
CCR S.A.,02.846.056/0001-97,2012,0.29342380286635067,0.5986685971013628,0.18263994821004695,7.923343318477388,8.518112077153503,
CEMIG GERACAO E TRANSMISSAO S.A.,06.981.176/0001-58,2012,0.15891735330621465,0.8646123460096411,1.2341109787167297,0.6983617057777372,0.41368674821355755,
CENTRAIS ELET BRAS S.A. - ELETROBRAS,00.001.180/0001-26,2012,-0.06745530222653756,1.9025294828520232,0.5201460647551363,-3.4104891206617514,-2.473985254450638,
CENTRAIS ELET DE SANTA CATARINA S.A.,83.878.892/0001-55,2012,-0.1350268965701059,8.822832980972516,0.006660949715380002,-inf,-inf,
CENTRO DE IMAGEM DIAGNOSTICOS S.A.,42.771.949/0001-35,2012,,,,,,
CIA BRASILEIRA DE DISTRIBUICAO,47.508.411/0001-56,2012,0.046834038411021385,0.8263503936553174,1.6422053686258238,0.10858484421470779,0.05517443114379996,
CIA CELG DE PARTICIPACOES - CELGPAR,08.560.444/0001-93,2012,-2.628751537211227,0.00134369306487869,-1.143128412057916,-inf,-inf,
