DENOM_CIA,CNPJ_CIA,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,indice
IPCA (%a.a),Brasil,5.83859471814745,5.91068325533108,6.40747079590815,10.6730281339751,6.28798821322138,2.94742132043471,3.74558117019155,4.30615161715953,4.51745688642451,10.0609827374433,5.78509290788949,Macro
PIB_per_capta (R$ 2022),Brasil,48.2401761697914,49.1951232041058,49.0018376761842,46.8954251647156,45.0611035083831,45.4183402570409,46.055433282696,46.5176942340712,44.974780541451,47.2876214821557,48.8288869039802,Macro
cambio,Brasil,1.95458333333333,2.15763333333333,2.35356666666667,3.33153333333333,3.49011666666667,3.19200833333333,3.65445,3.94508333333333,5.15584166666667,5.395025,5.16476666666667,Macro
divida_liquida_pib,Brasil,33.7441666666667,32.13,31.9758333333333,34.42,42.8275,50.8966666666667,53.3791666666667,55.8433333333333,62.5516666666667,61.6208333333333,57.0283333333333,Macro
SELIC (%a.a),Brasil,8.62841530054645,8.29246575342466,10.958904109589,13.4732876712329,14.17,10.1547945205479,6.58082191780822,6.03561643835616,2.88661202185792,4.62835820895522,12.5612947658402,Macro
SELIC_over (%a.a),Brasil,8.48227094089098,8.21335618423154,10.9100920689661,13.2857836033859,14.0283876295154,9.95564231649329,6.42152120022379,5.94594035772942,2.75381578210547,4.43568775893222,12.3804866338466,Macro
AES BRASIL ENERGIA S.A.,37.663.076/0001-07,,,,,,,,,0.0,0.09639238089057181,0.026265093217394966,ROA
AES BRASIL OPERAÇÕES S.A.,00.194.724/0001-13,,,,,,,,,-0.01903435468895079,0.053364166899112594,0.011920045160019682,ROA
AGROGALAXY PARTICIPAÇÕES S.A.,21.240.146/0001-84,,,,,,,,0.08043274968613248,0.07815374110254586,0.07776451817252265,0.013582785906784689,ROA
ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.,42.771.949/0001-35,,,,,,,,0.021979144825002368,-0.04896100599849723,-0.0028203334762302293,-0.10747275557861961,ROA
ALLIED TECNOLOGIA S.A.,20.247.322/0001-47,,,,,,,,0.03204965897672315,0.04535975975520963,0.06691667564364968,0.02118099057139106,ROA
ALMEIDA JUNIOR SHOPPING CENTERS S.A.,82.120.676/0001-83,,,,,,,,,3.983208242489027e-05,0.014426422822007085,0.04950201490960714,ROA
ALPARGATAS S.A.,61.079.117/0001-05,0.11922749518909138,0.10522762473358838,0.0922993949082149,0.08765242626695181,0.1142476252588659,0.1121749598566792,0.09977423701531764,0.0747407774807773,0.033643422200411076,0.09357631048737278,0.014638704381499614,ROA
ALPHAVILLE S.A.,16.811.931/0001-00,,,,,,,,-1.3806267454078565,-0.5806133459536205,-2.4578076120959333,-3.5042762007895836,ROA
ALUPAR INVESTIMENTO S/A,08.364.948/0001-38,0.08805000291625087,0.08525934665415946,0.11125500714232704,0.05973279036594612,0.07891673945278381,0.06855351736508858,0.07421053126434925,0.14221700535731488,0.13747484058712908,0.1463377546870285,0.11359209048226296,ROA
AMBEV S.A.,07.526.557/0001-00,0.03451754102537248,0.21728243440248185,0.15585675128586374,0.13115932325609148,0.13755338198060027,0.08007064681912125,0.12412280331404617,0.11858864038454726,0.093476229133709,0.09619436269244169,0.10933614247712573,ROA
ANEMUS WIND HOLDING S.A.,38.482.780/0001-26,,,,,,,,,,-0.01261846251862976,-0.028022555262537253,ROA
ANIMA HOLDING S.A.,09.288.252/0001-32,0.18293261933856894,0.06181085170390733,0.23205874612817926,0.06536286402207166,0.020686541095210686,0.08504161598245477,0.002076242655672081,-0.006767868393073959,-0.012902379382306591,-0.01517619726892502,-0.02027928492365568,ROA
AREZZO INDÚSTRIA E COMÉRCIO S.A.,16.590.234/0001-76,0.17035217323258345,0.1737641378356459,0.15099959287749898,0.1454169178122144,0.13906629023258932,0.1495415588451407,0.14592452934418665,0.1482824499038362,0.020628773368399644,0.1295496454246686,0.10397719649927191,ROA
"ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.",00.242.184/0001-04,,,,,,,,0.07874340511093161,0.04077176369910797,0.018272180083436996,0.039826586884125464,ROA
ASA BRANCA HOLDING S.A.,09.359.927/0001-97,,,,,,,,,,-0.03685330383881747,0.024191568402043995,ROA
ATACADÃO S.A.,75.315.333/0001-09,,,,,0.0675178283873936,0.07309714285714286,0.07240371614253936,0.038378480772873654,0.08306381390720238,0.08249370277078086,0.03411944749646837,ROA
ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.,00.359.742/0001-08,-3.573099415204678,-3.0111317254174397,-1.7937608318890814,-0.008665511265164644,-0.24872231686541738,0.8212121212121212,0.6351727231942575,0.15936345124066673,0.481885332395357,0.23805788689308965,0.2943733114060848,ROA
AURA ALMAS MINERAÇÃO S.A.,08.213.823/0001-07,,,,,,,,,-0.02002983755111062,0.019248653167242325,0.019736298003592855,ROA
AUREN ENERGIA S.A.,28.594.234/0001-23,,,,,,,,,,0.011073820695313548,0.15628658766667175,ROA
AZEVEDO E TRAVASSOS S.A.,61.351.532/0001-68,0.09858286431822769,0.0764649643468908,0.06783512469198538,0.011871501721129366,-0.5878882859973091,-1.5193102079838374,-3.9116621237433686,-0.8663567693201627,-0.4803715912496254,0.570675646878386,-0.2451121320881364,ROA
AZUL S.A.,09.305.994/0001-29,,,,,-0.07911912528875593,0.1770357103895904,0.12078133100666388,-1.1573585236428856,-8.577049463237232,-3.920612675990806,-0.9127837258288907,ROA
"B3 S.A. - BRASIL, BOLSA, BALCÃO",09.346.601/0001-25,0.04499673191595589,0.04237717755324105,0.0386681633903673,0.08499021251663247,0.047105040609309826,0.03392456709301289,0.05461505829486455,0.06676460669946525,0.08838407886756441,0.08829174797033293,0.08795370575640707,ROA
BAHEMA EDUCAÇÃO S.A.,45.987.245/0001-92,-0.03805842562997101,-0.05820633441002406,0.10753497120018808,-0.018043786254644603,0.04500179344976961,-0.07731853812480913,-0.03984199285565783,-0.07331671221492385,-0.17261268718488976,-0.20721895819863378,-0.6746407058257755,ROA
BAUMER S.A.,61.374.161/0001-30,0.09916432728888697,0.1208521672097831,0.09779086657408738,0.1019543445647326,0.02687948124843817,0.012564012062442335,0.03329826809043306,0.037566928586329186,0.08826347549539265,0.07839226324722201,0.03119347853776589,ROA
BEMOBI MOBILE TECH S.A.,09.042.817/0001-05,,,,,,,,0.0977114139675082,0.0828550558280288,0.06930561930244601,0.07401730236404513,ROA
BIOMM S.A.,04.752.991/0001-10,-1.606453078845717,-0.07290081314954125,-0.07106045700487412,0.0370021221936781,-0.19616006606337955,-0.14810843986590685,-0.14166980105248791,-0.14556437099979658,-0.16531719259556893,-0.22145852877876496,-0.2324656797986749,ROA
BLAU FARMACÊUTICA S.A.,58.430.828/0001-60,,,,,,0.2826315140386697,0.21020989778845808,0.2729138726243826,0.20055625518975684,0.1401459539471558,0.14681695517486454,ROA
BOA SAFRA SEMENTES S.A.,10.807.374/0001-77,,,,,,,,0.13093823353205197,0.22451799002881348,0.13382408831495707,0.1082159372387825,ROA
BOMBRIL S.A.,50.564.053/0001-03,-0.02386582469873272,-0.13342532152558345,-0.047946010710810616,-0.31177720982936735,0.04814371062262106,0.18436936675001453,0.10801200099135948,-0.06259372748607808,0.05979888442065154,0.0793491345315678,0.026321831979924402,ROA
BR MALLS PARTICIPACOES S.A.,06.977.745/0001-91,0.16229691980617852,0.057801566571644106,0.03949563861567899,0.0003734194743114471,0.013104071073867761,-0.06456459293132598,0.08121047035087121,0.08806529297419267,-0.019708511808482078,0.0,0.03836096914008275,ROA
BR PROPERTIES S.A.,06.977.751/0001-49,0.11476572027012046,0.0072511779746876155,0.02979659368975923,-0.10202997274120691,0.003324863840336456,0.029382536834371257,0.0013151957554444114,0.03151947599549427,0.019426483208399983,0.0028377967295137242,-0.3228054173599991,ROA
BRADESPAR S.A.,03.847.461/0001-92,0.04496478739069038,-0.004569835027509145,0.009960096995207654,-0.2738308780217796,0.06377278706990916,0.20564114951492668,0.11194831534380707,-0.03989738081012838,0.12985236300795744,1.069559073655939,0.46237469954807864,ROA
BRASILAGRO - CIA BRAS DE PROP AGRICOLAS,07.628.528/0001-59,-0.008089865454445143,0.0408407853395698,-0.017866000981413315,0.2017815612208002,0.0135302203076167,0.0345012292089352,0.1218245232385355,0.14589004303895917,0.06616785539749473,0.10003372815110212,0.16919169246343885,ROA
BRASKEM S.A.,42.150.391/0001-70,-0.020666651534814957,0.013113234150870384,0.02144065518583118,0.06989592125797883,-0.011055883461607774,0.10683616825793114,0.06739075312850083,-0.053025560903047726,-0.09953146709973293,0.18443455496871247,-0.004582405521476689,ROA
BRAZILIAN FINANCE E REAL ESTATE S.A.,02.762.113/0001-50,-0.02023795196045466,0.5607662232887197,-7.172880772375801e-05,0.06555378839234499,0.06980180859538912,0.07509373326191751,0.06050195577725239,0.07412550628583452,0.04403239068663676,0.050349541457337915,0.047259159614982595,ROA
BRB BCO DE BRASILIA S.A.,00.000.208/0001-00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018139193037310136,0.019948112298203324,0.007639807064976973,ROA
BRF S.A.,01.838.723/0001-27,0.026592772257766184,0.03356575848431627,0.06449700699597137,0.08183068302503535,-0.00860270075684814,-0.028150736940650564,-0.1104258249891357,0.006827893122177628,0.025929352333293878,0.006775114149903958,-0.05296172670854972,ROA
BRISANET PARTICIPAÇÕES S.A.,19.796.586/0001-70,,,,,,,,,0.22184055995186486,0.0016655238785757318,0.035526848646155934,ROA
BRQ SOLUCOES EM INFORMATICA S.A.,36.542.025/0001-64,,,0.005613653004900212,0.040577493068170954,-0.031523226905779494,0.013364461157787316,0.1287800852702517,0.14217500122687343,0.1600729841350358,0.1123531246750546,0.2123921600413376,ROA
CAMBUCI S.A.,61.088.894/0001-08,-0.05107270510768516,0.0013255747828420164,0.05709456977000514,-0.11280188372981792,-0.16206822903520182,0.2107180339133013,0.07604753770404947,0.08253299359728211,0.07657277142191676,0.08247669208442562,0.1379832746072159,ROA
CAMIL ALIMENTOS S.A.,64.904.295/0001-03,,,,,,0.06129605241146896,0.07556509906228313,0.09495850264145564,0.05449384070964704,0.0847507891647447,0.07061193393469285,ROA
CCR S.A.,02.846.056/0001-97,0.29342380286635067,0.3031899917071351,0.30346650125027275,0.14810245103247063,0.2511655598768836,0.15362746584590728,0.07023400482291732,0.1248113084336398,0.014387349206674371,0.04265849429461933,0.1947490314233806,ROA
CEMIG GERACAO E TRANSMISSAO S.A.,06.981.176/0001-58,0.15891735330621465,0.17292288840165654,0.1687638491275999,0.1509133481588005,0.004241121358605968,0.0258446224620007,0.03564998312490748,0.048440402436597294,0.05264792053844243,0.04609962356793356,0.10674297111752191,ROA
CENTRAIS ELET BRAS S.A. - ELETROBRAS,00.001.180/0001-26,-0.06745530222653756,-0.06670708708213853,-0.031485796392746804,-0.15175622256062335,0.029379652306691,-0.014542695205447431,0.10002001399093957,0.08061296614197455,0.048580735426830515,0.04109287161722627,0.021396036220609774,ROA
CENTRAIS ELET DE SANTA CATARINA S.A.,83.878.892/0001-55,-0.1350268965701059,0.09039324611903651,0.20706019761030525,0.05769154357130054,-0.00470450107225437,0.03559794481234312,0.08924517547607125,0.1901672962545945,0.24308805272262274,0.20090991888643567,0.17409381759250553,ROA
CENTRO DE IMAGEM DIAGNOSTICOS S.A.,42.771.949/0001-35,,,,-0.009254540828494156,0.008230722875811902,0.0036046034015057835,0.021927259937610116,,,,,ROA
CIA BRASILEIRA DE DISTRIBUICAO,47.508.411/0001-56,0.046834038411021385,0.04737964556255437,0.054680099888056485,0.01238375625029207,-0.020371935756551142,0.026938811036643747,0.04813977887176176,0.026635198921105867,0.05925704340258893,0.023836414432622004,-0.005679191705738625,ROA
CIA CELG DE PARTICIPACOES - CELGPAR,08.560.444/0001-93,-2.628751537211227,0.04550239719946222,-0.9730984126984127,-1.0015992170803514,0.7317974984530667,0.12322035237418029,0.05828896802993807,0.06375521232235555,0.11397719716460869,0.10016042749208184,1.0767061369566557,ROA
CIA ENERGETICA DE MINAS GERAIS - CEMIG,17.155.730/0001-64,0.2504454940114372,0.21965635479102516,0.22908791700059386,0.15126411701402365,0.021682104705160823,0.06315588762959698,0.10262275819302953,0.17616935341907847,0.14275949791459014,0.16584489616769707,0.16409594660280405,ROA
CIA FERRO LIGAS DA BAHIA - FERBASA,15.141.799/0001-03,0.06557757546040183,0.053409320519883764,0.0628446576644027,0.10574457240004762,0.042170388710976045,0.14581361068243615,0.13468416287066615,0.0921116854602669,0.028204473132745194,0.21221396018863228,0.2873073958375593,ROA
CIA FIACAO TECIDOS CEDRO CACHOEIRA,17.245.234/0001-00,0.02546684994415764,0.023283087175502266,-0.01762526079780774,-0.19870364285744765,-0.3499070829020068,0.17645251587355773,0.08952378847567007,-0.032369662915132213,-0.08116414972893764,0.0026204518397898164,-0.026828725119907214,ROA
CIA INDUSTRIAL CATAGUASES,19.526.748/0001-50,0.018959968919285437,0.019926740472166592,0.03960538930180296,-0.01929589637636271,0.0068648515110908154,-0.044905320849133734,-0.018095399157980935,0.03161231020040063,-0.030040622970443288,0.04848539952417754,0.05178829733975919,ROA
CIA MELHORAMENTOS DE SAO PAULO,60.730.348/0001-66,0.002126860265149454,-0.0044344399944131,0.021669818757985407,-0.06066518078109764,0.1600837776435665,0.02639384879439692,0.0033013365940518184,-0.026392773585872102,-0.042536587484931374,-0.02374133605166386,0.0010786663061600264,ROA
CIA PARANAENSE DE ENERGIA - COPEL,76.483.817/0001-20,0.050904675929195155,0.07411080303010202,0.0771327777496353,0.07035256678709645,0.0553475080457835,0.057564488593930284,0.0735034874197649,0.09913484812502768,0.16875889785393358,0.20726829932390725,0.05037279940314044,ROA
