"DENOM_CIA","CNPJ_CIA","ANO","ROA","LC","CTPT","ME","ML","Empresa","IPCA","PIB_per_capta","cambio","divida_liquida_pib","SELIC","SELIC_over","Pais_k","Ano_t"
"ALPARGATAS S.A.","61.079.117/0001-05",2012,0.119227495189091,2.9889552422582,0.418383038660952,0.137369712674879,0.123980749934242,"1",5.83859471814745,48.2401761697914,1.95458333333333,33.7441666666667,8.62841530054645,8.48227094089098,1,1
"ALUPAR INVESTIMENTO S/A","08.364.948/0001-38",2012,0.0880500029162509,1.68348693503637,0.531831903317421,NA,NA,"2",5.83859471814745,48.2401761697914,1.95458333333333,33.7441666666667,8.62841530054645,8.48227094089098,1,1
"AMBEV S.A.","07.526.557/0001-00",2012,0.0345175410253725,2.36759311279289,0.377702984116978,NA,NA,"3",5.83859471814745,48.2401761697914,1.95458333333333,33.7441666666667,8.62841530054645,8.48227094089098,1,1
"ANIMA HOLDING S.A.","09.288.252/0001-32",2012,0.182932619338569,0.115639327559857,5.99891049735796,2.01763604952491,1.69183702850561,"4",5.83859471814745,48.2401761697914,1.95458333333333,33.7441666666667,8.62841530054645,8.48227094089098,1,1
"AREZZO INDÚSTRIA E COMÉRCIO S.A.","16.590.234/0001-76",2012,0.170352173232583,5.03673659007254,0.252853608401869,0.158817662263935,0.127303812123259,"5",5.83859471814745,48.2401761697914,1.95458333333333,33.7441666666667,8.62841530054645,8.48227094089098,1,1
"ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.","00.359.742/0001-08",2012,-3.57309941520468,0.0795225546426911,-1.02199639825058,NA,NA,"6",5.83859471814745,48.2401761697914,1.95458333333333,33.7441666666667,8.62841530054645,8.48227094089098,1,1
"AZEVEDO E TRAVASSOS S.A.","61.351.532/0001-68",2012,0.0985828643182277,2.9242527173913,1.77404907784655,0.252248286271304,0.552984089051003,"7",5.83859471814745,48.2401761697914,1.95458333333333,33.7441666666667,8.62841530054645,8.48227094089098,1,1
"B3 S.A. - BRASIL, BOLSA, BALCÃO","09.346.601/0001-25",2012,0.0449967319159559,2.40395620739399,0.230794201728247,0.757727761262685,0.527948402797469,"8",5.83859471814745,48.2401761697914,1.95458333333333,33.7441666666667,8.62841530054645,8.48227094089098,1,1
"BAHEMA EDUCAÇÃO S.A.","45.987.245/0001-92",2012,-0.038058425629971,15.9328537170264,0.0610667455387952,NA,NA,"9",5.83859471814745,48.2401761697914,1.95458333333333,33.7441666666667,8.62841530054645,8.48227094089098,1,1
"BAUMER S.A.","61.374.161/0001-30",2012,0.099164327288887,1.97926530048035,0.651942703670546,0.163971299399447,0.102892552688994,"10",5.83859471814745,48.2401761697914,1.95458333333333,33.7441666666667,8.62841530054645,8.48227094089098,1,1
