,CIK,Symbol
0,0000066740,MMM
1,0000091142,AOS
2,0000001800,ABT
3,0001551152,ABBV
4,0001467373,ACN
5,0000796343,ADBE
6,0000002488,AMD
7,0000874761,AES
8,0000004977,AFL
9,0001090872,A
10,0000002969,APD
11,0001559720,ABNB
12,0001086222,AKAM
13,0000915913,ALB
14,0001035443,ARE
15,0001097149,ALGN
16,0001579241,ALLE
17,0000352541,LNT
18,0000899051,ALL
19,0001652044,GOOGL
20,0001652044,GOOG
21,0000764180,MO
22,0001018724,AMZN
23,0001748790,AMCR
24,0001002910,AEE
25,0000006201,AAL
26,0000004904,AEP
27,0000004962,AXP
28,0000005272,AIG
29,0001053507,AMT
30,0001410636,AWK
31,0000820027,AMP
32,0001037868,AME
33,0000318154,AMGN
34,0000820313,APH
35,0000006281,ADI
36,0001013462,ANSS
37,0000315293,AON
38,0001841666,APA
39,0000320193,AAPL
40,0000006951,AMAT
41,0001521332,APTV
42,0000947484,ACGL
43,0000007084,ADM
44,0001596532,ANET
45,0000354190,AJG
46,0001267238,AIZ
47,0000732717,T
48,0000731802,ATO
49,0000769397,ADSK
50,0000008670,ADP
51,0000866787,AZO
52,0000915912,AVB
53,0000008818,AVY
54,0001069183,AXON
55,0001701605,BKR
56,0000009389,BALL
57,0000070858,BAC
58,0001390777,BK
59,0000701985,BBWI
60,0000010456,BAX
61,0000010795,BDX
62,0001067983,BRK.B
63,0000764478,BBY
64,0000012208,BIO
65,0000842023,TECH
66,0000875045,BIIB
67,0001364742,BLK
68,0001393818,BX
69,0000012927,BA
70,0001075531,BKNG
71,0000908255,BWA
72,0001037540,BXP
73,0000885725,BSX
74,0000014272,BMY
75,0001730168,AVGO
76,0001383312,BR
77,0000079282,BRO
78,0000014693,BF.B
79,0001316835,BLDR
80,0001996862,BG
81,0000813672,CDNS
82,0001590895,CZR
83,0000906345,CPT
84,0000016732,CPB
85,0000927628,COF
86,0000721371,CAH
87,0001170010,KMX
88,0000815097,CCL
89,0001783180,CARR
90,0001596783,CTLT
91,0000018230,CAT
92,0001374310,CBOE
93,0001138118,CBRE
94,0001402057,CDW
95,0001306830,CE
96,0001140859,COR
97,0001071739,CNC
98,0001130310,CNP
99,0001725057,CDAY
100,0001324404,CF
101,0001043277,CHRW
102,0001100682,CRL
103,0000316709,SCHW
104,0001091667,CHTR
105,0000093410,CVX
106,0001058090,CMG
107,0000896159,CB
108,0000313927,CHD
109,0001739940,CI
110,0000020286,CINF
111,0000723254,CTAS
112,0000858877,CSCO
113,0000831001,C
114,0000759944,CFG
115,0000021076,CLX
116,0001156375,CME
117,0000811156,CMS
118,0000021344,KO
119,0001058290,CTSH
120,0000021665,CL
121,0001166691,CMCSA
122,0000028412,CMA
123,0000023217,CAG
124,0001163165,COP
125,0001047862,ED
126,0000016918,STZ
127,0001868275,CEG
128,0000711404,COO
129,0000900075,CPRT
130,0000024741,GLW
131,0001755672,CTVA
132,0001057352,CSGP
133,0000909832,COST
134,0000858470,CTRA
135,0001051470,CCI
136,0000277948,CSX
137,0000026172,CMI
138,0000064803,CVS
139,0000313616,DHR
140,0000940944,DRI
141,0000927066,DVA
142,0000315189,DE
143,0000027904,DAL
144,0000818479,XRAY
145,0001090012,DVN
146,0001093557,DXCM
147,0001539838,FANG
148,0001297996,DLR
149,0001393612,DFS
150,0000029534,DG
151,0000935703,DLTR
152,0000715957,D
153,0001286681,DPZ
154,0000029905,DOV
155,0001751788,DOW
156,0000882184,DHI
157,0000936340,DTE
158,0001326160,DUK
159,0001666700,DD
160,0000915389,EMN
161,0001551182,ETN
162,0001065088,EBAY
163,0000031462,ECL
164,0000827052,EIX
165,0001099800,EW
166,0000712515,EA
167,0001156039,ELV
168,0000059478,LLY
169,0000032604,EMR
170,0001463101,ENPH
171,0000065984,ETR
172,0000821189,EOG
173,0001352010,EPAM
174,0000033213,EQT
175,0000033185,EFX
176,0001101239,EQIX
177,0000906107,EQR
178,0000920522,ESS
179,0001001250,EL
180,0001370637,ETSY
181,0001095073,EG
182,0001711269,EVRG
183,0000072741,ES
184,0001109357,EXC
185,0001324424,EXPE
186,0000746515,EXPD
187,0001289490,EXR
188,0000034088,XOM
