,Denominação Social,CNPJ,Código
0,3R PETROLEUM ÓLEO E GÁS S.A,12.091.809/0001-55,RRRP
1,ALLOS S.A,05.878.397/0001-32,ALOS
2,ALPARGATAS S.A.,61.079.117/0001-05,ALPA
3,AMBEV S.A.,07.526.557/0001-00,ABEV
4,AREZZO INDÚSTRIA E COMÉRCIO S.A.,16.590.234/0001-76,ARZZ
5,SENDAS DISTRIBUIDORA S.A.,06.057.223/0553-16,ASAI
6,AZUL S.A.,09.305.994/0001-29,AZUL
13,BRASKEM S.A.,42.150.391/0001-70,BRKM
14,BRF S.A.,01.838.723/0001-27,BRFS
16,ATACADÃO S.A.,75.315.333/0001-09,CRFB
17,GRUPO CASAS BAHIA S.A.,33.041.260/1807-15,BHIA
18,CCR S.A.,02.846.056/0001-97,CCRO
19,CIA ENERGETICA DE MINAS GERAIS - CEMIG,17.155.730/0001-64,CMIG
21,COGNA EDUCAÇÃO S.A.,02.800.026/0001-40,COGN
22,CIA PARANAENSE DE ENERGIA - COPEL,76.483.817/0001-20,CPLE
23,COSAN S.A.,50.746.577/0001-15,CSAN
24,CPFL ENERGIA S.A.,02.429.144/0001-93,CPFE
25,CSN MINERAÇÃO S.A.,08.902.291/0001-15,CMIN
26,CVC BRASIL OPERADORA E AGÊNCIA DE VIAGENS S.A.,10.760.260/0001-19,CVCB
27,CYRELA BRAZIL REALTY S.A.EMPREEND E PART,73.178.600/0001-18,CYRE
28,DEXCO S.A.,97.837.181/0001-47,DXCO
29,CENTRAIS ELET BRAS S.A. - ELETROBRAS,00.001.180/0001-26,ELET
30,CENTRAIS ELET BRAS S.A. - ELETROBRAS,00.001.180/0001-26,ELET
31,EMBRAER S.A.,07.689.002/0001-89,EMBR
32,ENERGISA S.A.,00.864.214/0001-06,ENGI1
33,ENEVA S.A,04.423.567/0001-21,ENEV
34,ENGIE BRASIL ENERGIA S.A.,02.474.103/0001-19,EGIE
35,EQUATORIAL ENERGIA S.A.,03.220.438/0001-73,EQTL
36,EZ TEC EMPREEND. E PARTICIPACOES S.A.,08.312.229/0001-73,EZTC
37,FLEURY S.A.,60.840.055/0001-31,FLRY
38,GERDAU S.A.,33.611.500/0001-19,GGBR
39,METALURGICA GERDAU S.A.,92.690.783/0001-09,GOAU
40,GOL LINHAS AEREAS INTELIGENTES S.A.,06.164.253/0001-87,GOLL
41,NATURA &CO HOLDING S.A.,32.785.497/0001-97,NTCO
