Nome Do Pregão,Código,Denominação Social,Segmento De Mercado,Tipo De Capital,Capital R$,Aprovado Em,Qtde Ações Ordinárias,Qtde Ações Preferenciais,Qtde Total De Ações
FIAGRO FLEM,FLEM,051 AGRO FAZENDAS II FDO DE INV FIAGRO IMOBILIÁRIO,BOLSA,Homologado,100,17/03/2023,0,2.925.000,2.925.000
FIAGRO FZDB,FZDB,051 AGRO FAZIII FDO INV NAS CAD PROD AGRO - FIAGRO,BOLSA,Homologado,100,25/04/2023,0,3.600.000,3.600.000
FIAGRO 051,FZDA,051 AGRO FDO INV NAS CAD PROD AGRO - FIAGRO - IMOB,BOLSA,Homologado,100,05/09/2022,0,1.550.000,1.550.000
3R PETRÓLEO,RRRP,3R PETROLEUM ÓLEO E GÁS S.A,NOVO MERCADO,Homologado,"5.055.783.389,27",07/07/2023,239.984.927,0,239.984.927
524 PARTICIPE,QVQP,524 PARTICIPAÇÕES S.A.,BOLSA,Homologado,"1.135.904,66",28/04/2023,4.234.183.918,0,4.234.183.918
ABDEN OURO,ABGD,ETF DE AÇÕES ABRDN PHYSICAL GOLD,BOLSA,Homologado,000,29/03/2022,0,297.200.000,297.200.000
ABDEN SILV,SIVR,ETF DE AÇÕES ABRDN PHYSICAL SILVER,BOLSA,Homologado,000,29/03/2022,0,149.400.000,149.400.000
ACESSOPAR,A6OP,ACESSOPAR INVESTIMENTOS E PARTICIPAÇÕES S.A.,OUTROS,Homologado,100,24/04/2023,1,0,1
AERIS,AERI,GERAÇÃO DE ENERGIA S/A,NOVO MERCADO,Homologado,"871.975.004,83",11/12/2020,766.213.456,0,766.213.456
AES BRASIL,AESB,AES BRASIL ENERGIA S.A.,NOVO MERCADO,Homologado,"2.196.957.866,36",05/12/2022,601.927.311,0,601.927.311
AESOPERACOES,AESO,AES BRASIL OPERAÇÕES S.A.,BOLSA,Homologado,"1.799.261.667,36",05/12/2022,2.014.441.535,0,2.014.441.535
AFLUENTE T,AFLT,AFLUENTE TRANSMISSÃO DE ENERGIA ELÉTRICA S/A,BOLSA,Homologado,"33.084.700,00",07/04/2017,63.084.700,0,63.084.700
AGROGALÁXIA,AGXY,AGROGALAXY PARTICIPAÇÕES S.A.,NOVO MERCADO,Homologado,"838.717.076,95",23/07/2021,170.824.989,0,170.824.989
ALFA HOLDING,RPAD,ALFA PARTICIPAÇÕES S.A.,BOLSA,Homologado,"430.245.000,00",30/03/2023,46.011.632,38.670.637,84.682.269
ALGAR TELEC,ALGT,ALGAR TELECOMUNICAÇÕES S/A,BOLSA,Homologado,"901.831.185,18",16/12/2022,295.019.806,0,295.019.806
ALIANSCSONAE,TAMBÉM,ALIANSCE SONAE CENTROS COMERCIAIS S.A.,NOVO MERCADO,Homologado,"15.092.136.244,00",21/03/2023,573.936.909,0,573.936.909
ALLIAR,AALR,ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.,NOVO MERCADO,Homologado,"635.371.970,99",08/05/2017,118.292.816,0,118.292.816
ALIADO,ALLD,ALLIED TECNOLOGIA S.A.,NOVO MERCADO,Homologado,"1.021.574.733,95",01/12/2021,93.220.582,0,93.220.582
ESTAPAR,ALPK,ALLPARK EMPREENDIMENTOS PARTICIPACOES SERVICOS S.A,NOVO MERCADO,Homologado,"635.239.846,22",16/02/2022,214.426.523,0,214.426.523
ALPARGATAS,ALPA,ALPARGATAS S.A.,BOVESPA NIVEL 1,Homologado,"3.998.500.000,00",22/02/2022,339.510.689,343.551.533,683.062.222
ALPER S.A.,APER,ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A.,NOVO MERCADO,Homologado,"409.979.831,92",12/12/2022,19.561.704,0,19.561.704
ALPHAVILLE,AVLL,ALPHAVILLE S.A.,NOVO MERCADO,Homologado,"1.786.408.593,65",04/04/2023,28.615.213,0,28.615.213
ALTERE SEC,ALTR,ALTERE SECURITIZADORA S.A.,BOLSA,Homologado,"1.037.021,67",03/01/2017,36.218.984,0,36.218.984
ALUPAR,ALUP,ALUPAR INVESTIMENTO S/A,BOVESPA NIVEL 2,Homologado,"3.310.783.299,00",17/04/2023,620.834.207,293.441.497,914.275.704
AMBEV S/A,ABEV,AMBEV S.A.,BOLSA,Homologado,"58.177.928.601,85",25/04/2023,15.753.833.284,0,15.753.833.284
AMBIPAR,AMBP,AMBIPAR PARTICIPACOES E EMPREENDIMENTOS S/A,NOVO MERCADO,Homologado,"1.151.602.270,50",20/07/2020,112.935.588,0,112.935.588
AMERICANAS,AMER,AMERICANAS S.A,NOVO MERCADO,Homologado,"15.457.554.222,38",30/12/2022,902.529.503,0,902.529.503
AMPLA ENERG,CBEE,AMPLA ENERGIA E SERVICOS S.A.,BOLSA,Homologado,"4.138.230.386,65",07/03/2022,240.209.921,0,240.209.921
AMPLA ENERG,CBEE,AMPLA ENERGIA E SERVICOS S.A.,BOLSA,Subscrito,"300.000.000,00",30/08/2023,13.824.885,0,13.824.885
ANIMA,ANIM,ANIMA HOLDING S.A.,NOVO MERCADO,Homologado,"2.569.624.313,76",18/02/2021,403.868.805,0,403.868.805
AREZZO CO,ARZZ,AREZZO INDÚSTRIA E COMÉRCIO S.A.,NOVO MERCADO,Homologado,"1.738.228.766,61",29/05/2023,110.989.206,0,110.989.206
ARMAC,ARML,"ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.",NOVO MERCADO,Homologado,"1.129.496.770,37",26/09/2022,346.016.041,0,346.016.041
FIAGRO AAGR,AAGR,ASSET BANK AGRONEGÓCIOS FIAGRO IMOBILIARIO,BOLSA,Homologado,100,31/10/2022,0,5.000.000,5.000.000
CARREFOUR BR,CRFB,ATACADÃO S.A.,NOVO MERCADO,Homologado,"9.959.228.605,46",15/05/2023,2.107.764.631,0,2.107.764.631
FIP ATHON,AATH,ATHON ENERGIA ESG I FDO INV PART EM INFRAESTRUTURA,FIP IE,Homologado,100,24/08/2023,0,107.016,107.016
ATMASA,ATMP,ATMA PARTICIPAÇÕES S.A.,BOLSA,Homologado,"1.419.402.983,96",15/12/2021,26.710.356,0,26.710.356
ATOMPAR,ATOM,ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.,BOLSA,Homologado,"13.914.270,83",29/04/2022,23.804.898,0,23.804.898
AUREN,AURE,AUREN ENERGIA S.A.,NOVO MERCADO,Homologado,"5.940.136.584,99",23/03/2022,1.000.000.000,0,1.000.000.000
FIAGRO AAZQ,AAZQ,AZ QUEST SOLE FDO DE INV - FIAGRO - IMOBILIARIO,BOLSA,Homologado,100,12/12/2022,0,24.037.284,24.037.284
AZEVEDO,AZEV,AZEVEDO E TRAVASSOS S.A.,BOLSA,Homologado,"350.439.098,98",04/10/2023,31.860.681,61.282.713,93.143.394
