about,b3_issuer_code,b3_listing_segment,b3_sector,b3_segment,b3_subsector,cnpj,controlling_interest,cvm_code,founding_date,is_b3_listed,is_foreign,is_state_owned,main_activity,name,trade_name,website
,,DRN,Não Classificados,Não Classificados,Não Classificado,,,1,,True,True,,,ACCELLERON INDUSTRIES LTD,,
,PATI,,Materiais Básicos,Artefatos de Ferro e Aço,Siderurgia e Metalurgia,92.693.019/0001-89,private,94,1967-07-20,True,False,False,Industrialização E Comercialização de Aços Planos.,Panatlântica S.A.,Panatlântica,https://www.panatlantica.com.br
"A Bahema Educação é uma empresa de ensino básico. Com mais de 70 anos de história, a Bahema tem atestada competência em gestão administrativa e investimentos, o que a torna uma parceira ideal para escolas que desejam atualizar seus projetos pedagógicos. Desde sua entrada no setor de educação básica em 2017, a Bahema já adquiriu diversas escolas, incluindo instituições bilíngues e sócio construtivistas em várias partes do Brasil. Em 2022, a Companhia anunciou a aquisição do Intergraus, cursinho preparatório para estudantes que desejam ingressar em cursos de ensino superior mais concorridos.",BAHI,MA,Consumo Cíclico,Serviços Educacionais,Diversos,45.987.245/0001-92,private,701,1960-11-19,True,False,False,Prestação de Serviços Educacionais. Diretamente Ou Por Meio de Participação em Outras Sociedades. Nas áreas de Educação Pré-escolar. Infantil E Básica (ensino Fundamental Ao Ensino Médio),Bahema Educação S.A.,Bahema,https://www.bahema.com.br
"O Bradesco é um dos maiores bancos do Brasil, com uma história de mais de 75 anos de atuação no mercado financeiro. Com uma ampla rede de atendimento, o banco está presente em todos os municípios do país, oferecendo uma ampla gama de serviços financeiros, desde contas correntes e empréstimos até investimentos e seguros. Reconhecido como uma das marcas mais valiosas do Brasil, o Bradesco é uma referência no setor financeiro, com uma atuação pautada pela inovação, qualidade e excelência no atendimento ao cliente.",BBDC,N1,Financeiro,Bancos,Intermediários Financeiros,60.746.948/0001-12,private,906,1943-03-02,True,False,False,Prática de Operações Bancárias em Geral. Inclusive Câmbio,Banco Bradesco S.A.,Banco Bradesco,https://www.bradescori.com.br
"O Banco da Amazônia é uma instituição financeira brasileira de economia mista, com participação do Governo Federal como maior acionista, focada na região Norte do Brasil. Fundado em 1942 como Banco de Crédito da Borracha, sua criação foi resultado da estratégia de guerra dos aliados durante a Segunda Guerra Mundial. O banco é especialista em fomento e contribui para o desenvolvimento regional sustentável por meio da administração de Fundos Constitucionais e linhas de crédito para diversos setores produtivos.",BAZA,,Financeiro,Bancos,Intermediários Financeiros,04.902.979/0001-44,state_owned,922,1942-07-09,True,False,True,,Banco da Amazônia S.A.,Banco da Amazônia,https://www.bancoamazonia.com.br/o-banco/relacoes-com-investidores
"O Banco do Brasil é uma das maiores instituições financeiras do Brasil, com uma ampla rede de agências e postos de atendimento em todo o país, além de presença em diversos países do mundo. Fundado em 1808, o banco passou por diversas transformações ao longo de sua história, e hoje atua como um banco de mercado, competitivo e rentável, com o objetivo de atender às necessidades financeiras de seus clientes e contribuir para o desenvolvimento econômico e social do país. Com uma equipe de mais de 86 mil funcionários, o Banco do Brasil é uma das principais referências do setor financeiro no Brasil e no mundo.",BBAS,NM,Financeiro,Bancos,Intermediários Financeiros,00.000.000/0001-91,state_owned,1023,1905-12-30,True,False,True,Banco Múltiplo,Banco do Brasil S.A.,Banco do Brasil,https://ri.bb.com.br
"O Banese é um banco brasileiro que tem como principal acionista o Governo do Estado de Sergipe. Fundado em 1961 como Banco de Fomento Econômico, o Banese tem como objetivo principal o desenvolvimento econômico de Sergipe, expandindo sua rede de atendimento por diversos bairros da capital e municípios do interior. Ao longo de sua história, o banco passou por diversos processos de modernização e reestruturação, como a informatização de sua rede de agências, a criação de novos produtos e serviços, e a introdução de novas metodologias de gestão. Atualmente, o Banese é um banco múltiplo que oferece serviços de crédito, investimentos, seguros e previdência, e é um importante agente de desenvolvimento econômico e social em Sergipe.",BGIP,,Financeiro,Bancos,Intermediários Financeiros,13.009.717/0001-46,state_owned,1120,1963-06-18,True,False,True,,Banco do Estado de Sergipe S.A.,Banese,https://ri.banese.com.br
"O Banestes é um banco fundado em 1937 e constituído como uma sociedade de economia mista, com o Governo do Estado do Espírito Santo como seu maior acionista. É um banco múltiplo e possui a maior rede bancária no estado do Espírito Santo, com agências em todos os 78 municípios capixabas. O Banestes oferece uma ampla gama de produtos e serviços financeiros para seus clientes, incluindo cartões de crédito, seguros, gestão de ativos e carteira de investimentos. Além disso, o banco é composto por três empresas: Banestes Seguros, Banestes DTVM e Banestes Corretora.",BEES,,Financeiro,Bancos,Intermediários Financeiros,28.127.603/0001-78,state_owned,1155,1936-06-17,True,False,True,Intermediação Financeira Inerente Aos Bancos Múltiplos Por Meio Das Carteiras Autorizadas. Inclusive Operações de Câmbio.,Banco do Estado do Espírito Santo S.A.,Banestes,https://www.banestes.com.br/ri
,BPAR,,Financeiro,Bancos,Intermediários Financeiros,04.913.711/0001-08,state_owned,1171,1960-07-01,True,False,True,,Banco do Estado do Pará S.A.,Banpará,https://ri.banpara.b.br/
"O Banrisul é um banco estatal brasileiro, criado em 1928, com sede em Porto Alegre, RS. Com foco de negócios na região sul do Brasil, o banco é uma sociedade de economia mista, com participação do Governo do Estado do Rio Grande do Sul como maior acionista individual. Sua missão atual é promover o desenvolvimento econômico e social do estado do Rio Grande do Sul, atendendo pessoas de todos os segmentos econômicos e sociais, com serviços bancários de varejo, gestão de ativos, cartões de crédito e seguros.",BRSR,N1,Financeiro,Bancos,Intermediários Financeiros,92.702.067/0001-96,state_owned,1210,1928-09-12,True,False,True,Banco Múltiplo Atuante Nas Carteiras Comercial. Crédito. Financiamento E Investimento. Crédito Imobiliário. Desenvolvimento E Arrendamento Mercantil E de Investimentos.,Banco do Estado do Rio Grande do Sul S.A.,Banrisul,https://ri.banrisul.com.br
